negative,positive,sentiment_ratio
2492.0,8976.0,0.7826996860830137
2159.0,6665.0,0.7553263825929284
1985.0,5665.0,0.7405228758169935
1884.0,8321.0,0.8153846153846154
2875.0,10174.0,0.7796766035711549
1926.0,8769.0,0.8199158485273492
852.0,3776.0,0.8159031979256698
2473.0,7384.0,0.7491123059754489
1979.0,8783.0,0.8161122467942762
1679.0,6998.0,0.8064999423763973
1658.0,5966.0,0.7825288562434418
1929.0,5950.0,0.7551719761391039
1790.0,6166.0,0.7750125691302162
3380.0,8773.0,0.7218793713486382
2091.0,7576.0,0.7836971138926244
1962.0,6660.0,0.7724425887265136
2162.0,10566.0,0.8301382778126964
1135.0,5309.0,0.8238671632526381
1547.0,6482.0,0.8073234524847428
1453.0,5443.0,0.7892981438515081
